strain,fluorescence,stress
wild_type,9073.255,low_Mg
wild_type,9481.031,low_Mg
wild_type,9838.747,low_Mg
wild_type,9842.425,low_Mg
wild_type,10345.45,low_Mg
wild_type,10474.876,low_Mg
wild_type,10607.387,low_Mg
wild_type,10665.986,low_Mg
wild_type,11534.554,low_Mg
wild_type,11612.268,low_Mg
wild_type,13203.231,low_Mg
wild_type,14250.246,low_Mg
∆yoaI,1245.4921,low_Mg
∆yoaI,1323.2208,low_Mg
∆yoaI,1323.7311,low_Mg
∆yoaI,1372.5233,low_Mg
∆yoaI,1397.9279,low_Mg
∆yoaI,1441.6222,low_Mg
∆yoaI,1549.1989,low_Mg
∆yoaI,1588.3032,low_Mg
∆yoaI,1789.2383,low_Mg
∆yoaI,1792.8837,low_Mg
∆yoaI,1804.75,low_Mg
∆yoaI,1863.707,low_Mg
∆yoaI,1912.9111,low_Mg
∆yoaI,1990.3374,low_Mg
∆yoaI,2092.376,low_Mg
∆yoaI,2119.5386,low_Mg
∆yoaI,2155.312,low_Mg
∆yoaI,2174.5833,low_Mg
∆yoaI,2215.9666,low_Mg
∆yoaI,2248.1042,low_Mg
∆yoaI,2257.8845,low_Mg
∆yoaI,2278.25,low_Mg
∆yoaI,2282.4243,low_Mg
∆yoaI,2325.1978,low_Mg
∆yoaI,2331.5425,low_Mg
∆yoaI,2332.768,low_Mg
∆yoaI,2342.1616,low_Mg
∆yoaI,2352.0598,low_Mg
∆yoaI,2412.829,low_Mg
∆yoaI,2431.9055,low_Mg
∆yoaI,2432.3716,low_Mg
∆yoaI,2451.907,low_Mg
∆yoaI,2458.6545,low_Mg
∆yoaI,2469.6843,low_Mg
∆yoaI,2572.4,low_Mg
∆yoaI,2594.1233,low_Mg
∆yoaI,2606.0874,low_Mg
∆yoaI,2639.027,low_Mg
∆yoaI,2682.2112,low_Mg
∆yoaI,2855.776,low_Mg
∆yoaI,2887.246,low_Mg
∆yoaI,2904.2983,low_Mg
∆yoaI,2928.517,low_Mg
∆yoaI,2940.7974,low_Mg
∆yoaI,2954.0322,low_Mg
∆yoaI,2974.8198,low_Mg
∆yoaI,3007.4,low_Mg
∆yoaI,3041.484,low_Mg
∆yoaI,3146.771,low_Mg
∆yoaI,3173.1553,low_Mg
∆yoaI,3185.2437,low_Mg
∆yoaI,3273.8154,low_Mg
∆yoaI,3285.7954,low_Mg
∆yoaI,3329.6804,low_Mg
∆yoaI,3363.5037,low_Mg
∆yoaI,3387.6858,low_Mg
∆yoaI,3395.608,low_Mg
∆yoaI,3404.6326,low_Mg
∆yoaI,3409.8975,low_Mg
∆yoaI,3410.299,low_Mg
∆yoaI,3435.7854,low_Mg
∆yoaI,3453.221,low_Mg
∆yoaI,3460.7654,low_Mg
∆yoaI,3463.1802,low_Mg
∆yoaI,3471.3188,low_Mg
∆yoaI,3472,low_Mg
∆yoaI,3472.291,low_Mg
∆yoaI,3498.4897,low_Mg
∆yoaI,3506.0305,low_Mg
∆yoaI,3507.4475,low_Mg
∆yoaI,3513.3936,low_Mg
∆yoaI,3517.4443,low_Mg
∆yoaI,3518.6516,low_Mg
∆yoaI,3530.1978,low_Mg
∆yoaI,3554.4246,low_Mg
∆yoaI,3584.3389,low_Mg
∆yoaI,3606.4045,low_Mg
∆yoaI,3625.6455,low_Mg
∆yoaI,3649.15,low_Mg
