hour,replicates,vector,wt,OD
19,2,empty,no,0.526
19,3,empty,no,0.542
19,4,empty,no,0.61
19,5,empty,no,0.693
19,6,empty,no,0.676
19,7,empty,no,0.888
19,8,empty,no,0.934
19,1,small,no,0.41
19,2,small,no,0.405
19,3,small,no,0.505
19,4,small,no,0.537
19,5,small,no,0.587
19,6,small,no,0.571
19,7,small,no,0.567
19,8,small,no,0.641
20,1,empty,yes,0.948
20,2,empty,yes,1.016
20,3,empty,yes,1.065
20,4,empty,yes,1.059
20,5,empty,yes,0.824
20,6,empty,yes,0.909
20,7,empty,yes,0.901
20,8,empty,yes,0.961
20,1,empty,no,0.56
20,2,empty,no,0.515
20,3,empty,no,0.536
20,4,empty,no,0.594
20,5,empty,no,0.685
20,6,empty,no,0.673
20,7,empty,no,0.882
20,8,empty,no,0.93
20,1,small,no,0.418
20,2,small,no,0.409
20,3,small,no,0.511
20,4,small,no,0.537
20,5,small,no,0.57
20,6,small,no,0.538
20,7,small,no,0.572
20,8,small,no,0.623
