hour,replicate,strain,wild_type,OD,stress
4,6,Empty_vector,no,0.351,stress
4,7,Empty_vector,no,0.371,stress
4,8,Empty_vector,no,0.424,stress
4,1,yriA,no,0.355,stress
4,2,yriA,no,0.331,stress
4,3,yriA,no,0.353,stress
4,4,yriA,no,0.36,stress
4,5,yriA,no,0.391,stress
4,6,yriA,no,0.386,stress
4,7,yriA,no,0.312,stress
4,8,yriA,no,0.312,stress
4,1,yriB,no,0.342,stress
4,2,yriB,no,0.338,stress
4,3,yriB,no,0.353,stress
4,4,yriB,no,0.346,stress
4,5,yriB,no,0.258,stress
4,6,yriB,no,0.319,stress
4,7,yriB,no,0.341,stress
4,8,yriB,no,0.483,stress
4,1,yriAB,no,0.396,stress
4,2,yriAB,no,0.397,stress
4,3,yriAB,no,0.44,stress
4,4,yriAB,no,0.391,stress
4,5,yriAB,no,0.443,stress
4,6,yriAB,no,0.375,stress
4,7,yriAB,no,0.37,stress
4,8,yriAB,no,0.39,stress
4,1,yriB(yriA_syn_mut),no,0.41,stress
4,2,yriB(yriA_syn_mut),no,0.383,stress
4,3,yriB(yriA_syn_mut),no,0.467,stress
4,4,yriB(yriA_syn_mut),no,0.447,stress
4,5,yriB(yriA_syn_mut),no,0.395,stress
4,6,yriB(yriA_syn_mut),no,0.35,stress
4,7,yriB(yriA_syn_mut),no,0.279,stress
4,8,yriB(yriA_syn_mut),no,0.392,stress
5,1,Empty_vector,yes,0.56,stress
5,2,Empty_vector,yes,0.555,stress
5,3,Empty_vector,yes,0.546,stress
5,4,Empty_vector,yes,0.551,stress
5,5,Empty_vector,yes,0.547,stress
5,6,Empty_vector,yes,0.548,stress
5,7,Empty_vector,yes,0.586,stress
5,8,Empty_vector,yes,0.602,stress
5,1,Empty_vector,no,0.43,stress
5,2,Empty_vector,no,0.392,stress
5,3,Empty_vector,no,0.437,stress
5,4,Empty_vector,no,0.479,stress
5,5,Empty_vector,no,0.465,stress
5,6,Empty_vector,no,0.435,stress
5,7,Empty_vector,no,0.417,stress
5,8,Empty_vector,no,0.451,stress
5,1,yriA,no,0.381,stress
5,2,yriA,no,0.377,stress
5,3,yriA,no,0.402,stress
5,4,yriA,no,0.421,stress
5,5,yriA,no,0.448,stress
5,6,yriA,no,0.451,stress
5,7,yriA,no,0.372,stress
5,8,yriA,no,0.372,stress
5,1,yriB,no,0.404,stress
5,2,yriB,no,0.408,stress
5,3,yriB,no,0.404,stress
5,4,yriB,no,0.4,stress
5,5,yriB,no,0.332,stress
5,6,yriB,no,0.372,stress
5,7,yriB,no,0.4,stress
5,8,yriB,no,0.56,stress
5,1,yriAB,no,0.533,stress
5,2,yriAB,no,0.535,stress
5,3,yriAB,no,0.522,stress
5,4,yriAB,no,0.475,stress
5,5,yriAB,no,0.507,stress
5,6,yriAB,no,0.455,stress
5,7,yriAB,no,0.462,stress
5,8,yriAB,no,0.469,stress
5,1,yriB(yriA_syn_mut),no,0.463,stress
5,2,yriB(yriA_syn_mut),no,0.441,stress
5,3,yriB(yriA_syn_mut),no,0.52,stress
5,4,yriB(yriA_syn_mut),no,0.525,stress
5,5,yriB(yriA_syn_mut),no,0.488,stress
5,6,yriB(yriA_syn_mut),no,0.433,stress
5,7,yriB(yriA_syn_mut),no,0.368,stress
5,8,yriB(yriA_syn_mut),no,0.493,stress
6,1,Empty_vector,yes,0.596,stress
6,2,Empty_vector,yes,0.582,stress
6,3,Empty_vector,yes,0.562,stress
6,4,Empty_vector,yes,0.57,stress
6,5,Empty_vector,yes,0.567,stress
6,6,Empty_vector,yes,0.569,stress
6,7,Empty_vector,yes,0.608,stress
6,8,Empty_vector,yes,0.629,stress
6,1,Empty_vector,no,0.412,stress
6,2,Empty_vector,no,0.391,stress
6,3,Empty_vector,no,0.441,stress
6,4,Empty_vector,no,0.477,stress
6,5,Empty_vector,no,0.456,stress
6,6,Empty_vector,no,0.433,stress
6,7,Empty_vector,no,0.422,stress
6,8,Empty_vector,no,0.462,stress
6,1,yriA,no,0.389,stress
6,2,yriA,no,0.359,stress
6,3,yriA,no,0.397,stress
6,4,yriA,no,0.414,stress
6,5,yriA,no,0.436,stress
6,6,yriA,no,0.434,stress
6,7,yriA,no,0.372,stress
6,8,yriA,no,0.354,stress
6,1,yriB,no,0.4,stress
6,2,yriB,no,0.404,stress
6,3,yriB,no,0.409,stress
6,4,yriB,no,0.405,stress
6,5,yriB,no,0.341,stress
6,6,yriB,no,0.396,stress
6,7,yriB,no,0.418,stress
6,8,yriB,no,0.588,stress
6,1,yriAB,no,0.564,stress
6,2,yriAB,no,0.568,stress
6,3,yriAB,no,0.538,stress
6,4,yriAB,no,0.486,stress
6,5,yriAB,no,0.517,stress
6,6,yriAB,no,0.463,stress
6,7,yriAB,no,0.465,stress
6,8,yriAB,no,0.489,stress
6,1,yriB(yriA_syn_mut),no,0.481,stress
6,2,yriB(yriA_syn_mut),no,0.449,stress
6,3,yriB(yriA_syn_mut),no,0.532,stress
6,4,yriB(yriA_syn_mut),no,0.53,stress
6,5,yriB(yriA_syn_mut),no,0.499,stress
6,6,yriB(yriA_syn_mut),no,0.442,stress
6,7,yriB(yriA_syn_mut),no,0.4,stress
6,8,yriB(yriA_syn_mut),no,0.548,stress
7,1,Empty_vector,yes,0.607,stress
7,2,Empty_vector,yes,0.592,stress
7,3,Empty_vector,yes,0.586,stress
7,4,Empty_vector,yes,0.589,stress
7,5,Empty_vector,yes,0.581,stress
7,6,Empty_vector,yes,0.586,stress
7,7,Empty_vector,yes,0.617,stress
7,8,Empty_vector,yes,0.653,stress
7,1,Empty_vector,no,0.416,stress
7,2,Empty_vector,no,0.389,stress
7,3,Empty_vector,no,0.449,stress
7,4,Empty_vector,no,0.487,stress
7,5,Empty_vector,no,0.47,stress
7,6,Empty_vector,no,0.444,stress
7,7,Empty_vector,no,0.424,stress
7,8,Empty_vector,no,0.468,stress
7,1,yriA,no,0.393,stress
7,2,yriA,no,0.354,stress
7,3,yriA,no,0.389,stress
7,4,yriA,no,0.407,stress
7,5,yriA,no,0.435,stress
7,6,yriA,no,0.433,stress
7,7,yriA,no,0.367,stress
7,8,yriA,no,0.36,stress
7,1,yriB,no,0.407,stress
7,2,yriB,no,0.405,stress
7,3,yriB,no,0.414,stress
7,4,yriB,no,0.414,stress
7,5,yriB,no,0.349,stress
7,6,yriB,no,0.411,stress
7,7,yriB,no,0.431,stress
7,8,yriB,no,0.609,stress
7,1,yriAB,no,0.586,stress
7,2,yriAB,no,0.582,stress
7,3,yriAB,no,0.548,stress
7,4,yriAB,no,0.493,stress
7,5,yriAB,no,0.522,stress
7,6,yriAB,no,0.469,stress
7,7,yriAB,no,0.468,stress
7,8,yriAB,no,0.5,stress
7,1,yriB(yriA_syn_mut),no,0.489,stress
7,2,yriB(yriA_syn_mut),no,0.455,stress
7,3,yriB(yriA_syn_mut),no,0.536,stress
7,4,yriB(yriA_syn_mut),no,0.53,stress
7,5,yriB(yriA_syn_mut),no,0.506,stress
7,6,yriB(yriA_syn_mut),no,0.454,stress
7,7,yriB(yriA_syn_mut),no,0.41,stress
7,8,yriB(yriA_syn_mut),no,0.577,stress
8,1,Empty_vector,yes,0.632,stress
8,2,Empty_vector,yes,0.608,stress
8,3,Empty_vector,yes,0.603,stress
8,4,Empty_vector,yes,0.61,stress
8,5,Empty_vector,yes,0.599,stress
8,6,Empty_vector,yes,0.606,stress
8,7,Empty_vector,yes,0.631,stress
8,8,Empty_vector,yes,0.661,stress
8,1,Empty_vector,no,0.415,stress
8,2,Empty_vector,no,0.389,stress
8,3,Empty_vector,no,0.452,stress
8,4,Empty_vector,no,0.493,stress
8,5,Empty_vector,no,0.477,stress
8,6,Empty_vector,no,0.45,stress
8,7,Empty_vector,no,0.424,stress
8,8,Empty_vector,no,0.473,stress
8,1,yriA,no,0.378,stress
8,2,yriA,no,0.35,stress
8,3,yriA,no,0.375,stress
8,4,yriA,no,0.392,stress
8,5,yriA,no,0.429,stress
8,6,yriA,no,0.431,stress
8,7,yriA,no,0.353,stress
8,8,yriA,no,0.361,stress
8,1,yriB,no,0.408,stress
8,2,yriB,no,0.401,stress
8,3,yriB,no,0.425,stress
8,4,yriB,no,0.422,stress
8,5,yriB,no,0.351,stress
8,6,yriB,no,0.423,stress
8,7,yriB,no,0.439,stress
8,8,yriB,no,0.618,stress
8,1,yriAB,no,0.606,stress
8,2,yriAB,no,0.599,stress
8,3,yriAB,no,0.55,stress
8,4,yriAB,no,0.496,stress
8,5,yriAB,no,0.521,stress
8,6,yriAB,no,0.468,stress
8,7,yriAB,no,0.469,stress
8,8,yriAB,no,0.508,stress
8,1,yriB(yriA_syn_mut),no,0.49,stress
8,2,yriB(yriA_syn_mut),no,0.456,stress
8,3,yriB(yriA_syn_mut),no,0.535,stress
8,4,yriB(yriA_syn_mut),no,0.528,stress
8,5,yriB(yriA_syn_mut),no,0.513,stress
8,6,yriB(yriA_syn_mut),no,0.469,stress
8,7,yriB(yriA_syn_mut),no,0.428,stress
8,8,yriB(yriA_syn_mut),no,0.597,stress
9,1,Empty_vector,yes,0.657,stress
9,2,Empty_vector,yes,0.62,stress
9,3,Empty_vector,yes,0.625,stress
9,4,Empty_vector,yes,0.627,stress
9,5,Empty_vector,yes,0.618,stress
9,6,Empty_vector,yes,0.625,stress
