strain,length,width,phase
MgrB,44.307648,8.837622,lag
MgrB,44.70325,10.025742,lag
MgrB,44.773743,9.66902,lag
MgrB,45.06403,10.642928,lag
MgrB,45.326912,9.204773,lag
MgrB,45.4398,10.6672535,lag
MgrB,45.818073,9.893466,lag
MgrB,45.839436,9.311612,lag
MgrB,45.994976,10.6164,lag
MgrB,46.885696,8.152659,lag
MgrB,47.19126,9.271113,lag
MgrB,47.38894,9.606655,lag
MgrB,47.62771,8.761506,lag
MgrB,47.72713,11.10529,lag
MgrB,47.853104,10.652578,lag
MgrB,48.068527,9.558311,lag
MgrB,48.219673,8.3669195,lag
MgrB,48.483284,9.328992,lag
MgrB,49.10934,10.149986,lag
MgrB,49.53392,10.532209,lag
MgrB,49.821102,10.506299,lag
MgrB,50.14548,10.253868,lag
MgrB,50.88922,9.089753,lag
MgrB,51.096634,9.810013,lag
MgrB,51.471478,10.1689625,lag
MgrB,52.219177,9.625124,lag
MgrB,52.34962,9.05739,lag
MgrB,52.58057,9.157544,lag
MgrB,52.705524,9.284866,lag
MgrB,53.608196,9.887987,lag
MgrB,53.684063,9.547239,lag
MgrB,54.024937,8.787111,lag
MgrB,55.04923,10.393934,lag
MgrB,55.62728,9.578905,lag
MgrB,56.223763,9.163229,lag
MgrB,60.025795,11.12067,lag
MgrB,62.285942,10.805515,lag
MgrB,63.562683,9.416433,lag
MgrB,70.80909,10.476127,lag
MgrB,78.62025,8.717151,lag
MgrB,85.57787,9.813736,lag
MgrB,90.191696,10.562137,lag
MgrB_stop,32.126865,6.610477,exp
MgrB_stop,43.656197,6.745447,exp
MgrB_stop,47.013298,6.752961,exp
MgrB_stop,33.076366,6.7541833,exp
MgrB_stop,64.48633,6.814463,exp
MgrB_stop,44.5529,6.8708076,exp
MgrB_stop,43.80269,6.875992,exp
MgrB_stop,45.78554,6.915945,exp
MgrB_stop,41.751534,6.9294915,exp
MgrB_stop,46.334152,6.962328,exp
MgrB_stop,33.941208,6.9732633,exp
MgrB_stop,33.657536,6.975135,exp
MgrB_stop,44.77201,6.979585,exp
MgrB_stop,50.51522,7.0917583,exp
MgrB_stop,46.779705,7.097953,exp
MgrB_stop,31.593946,7.1291456,exp
MgrB_stop,48.771942,7.141278,exp
MgrB_stop,23.9837,7.1485276,exp
MgrB_stop,42.401333,7.1514463,exp
MgrB_stop,24.589283,7.157734,exp
MgrB_stop,38.06404,7.1824656,exp
MgrB_stop,36.712963,7.197313,exp
MgrB_stop,31.011023,7.2110033,exp
MgrB_stop,32.053112,7.214274,exp
MgrB_stop,31.563185,7.2268987,exp
MgrB_stop,41.014717,7.230962,exp
MgrB_stop,43.635162,7.245931,exp
MgrB_stop,19.899033,7.2487707,exp
MgrB_stop,38.31166,7.2505555,exp
MgrB_stop,45.420696,7.255989,exp
MgrB_stop,25.436857,7.25866,exp
MgrB_stop,33.963154,7.2589016,exp
MgrB_stop,39.951637,7.2713604,exp
MgrB_stop,41.424538,7.276121,exp
MgrB_stop,45.809574,7.280348,exp
MgrB_stop,24.720499,7.281798,exp
MgrB_stop,51.681778,7.287955,exp
MgrB_stop,32.68286,7.2962656,exp
MgrB_stop,36.651554,7.29863,exp
MgrB_stop,40.290577,7.3014603,exp
MgrB_stop,34.541737,7.30264,exp
MgrB_stop,43.293346,7.3093514,exp
MgrB_stop,49.779415,7.310652,exp
MgrB_stop,40.696045,7.337868,exp
MgrB_stop,37.468628,7.349512,exp
MgrB_stop,31.100307,7.349764,exp
MgrB_stop,36.291714,7.3517976,exp
MgrB_stop,31.271378,7.352901,exp
MgrB_stop,27.122705,7.3581433,exp
MgrB_stop,16.649397,7.3667088,exp
MgrB_stop,32.341625,7.3752394,exp
MgrB_stop,27.433943,7.379244,exp
MgrB_stop,37.157,7.3811355,exp
MgrB_stop,31.966604,7.3813543,exp
MgrB_stop,35.110954,7.3815737,exp
MgrB_stop,45.50197,7.383822,exp
MgrB_stop,36.01726,7.38531,exp
MgrB_stop,35.83971,7.392755,exp
MgrB_stop,26.027086,7.3934026,exp
MgrB_stop,48.751614,7.3981156,exp
MgrB_stop,31.246038,7.3993244,exp
MgrB_stop,34.51878,7.400446,exp
MgrB_stop,50.564846,7.40993,exp
MgrB_stop,44.36778,7.4124155,exp
MgrB_stop,23.7624,7.4154787,exp
MgrB_stop,41.510338,7.415505,exp
MgrB_stop,33.421036,7.416435,exp
