time,replicate,strain,OD,Empty_vector,stress
1,4,YmiC,0.111,Yes,10mM_mg
2,1,PmrR,0.1,No,no_mg
2,2,PmrR,0.098,No,no_mg
2,3,PmrR,0.1,No,no_mg
2,4,PmrR,0.101,No,no_mg
2,1,PmrR,0.099,No,10mM_mg
2,2,PmrR,0.1,No,10mM_mg
2,3,PmrR,0.102,No,10mM_mg
2,4,PmrR,0.097,No,10mM_mg
2,1,YdgU,0.136,No,no_mg
2,2,YdgU,0.138,No,no_mg
2,3,YdgU,0.14,No,no_mg
2,4,YdgU,0.133,No,no_mg
2,1,YdgU,0.138,No,10mM_mg
2,2,YdgU,0.138,No,10mM_mg
2,3,YdgU,0.137,No,10mM_mg
2,4,YdgU,0.149,No,10mM_mg
2,1,YoaI,0.099,No,no_mg
2,2,YoaI,0.099,No,no_mg
2,3,YoaI,0.096,No,no_mg
2,4,YoaI,0.097,No,no_mg
2,1,YoaI,0.096,No,10mM_mg
2,2,YoaI,0.096,No,10mM_mg
2,3,YoaI,0.096,No,10mM_mg
2,4,YoaI,0.096,No,10mM_mg
2,1,YadX,0.133,No,no_mg
2,2,YadX,0.131,No,no_mg
2,3,YadX,0.13,No,no_mg
2,4,YadX,0.129,No,no_mg
2,1,YadX,0.132,No,10mM_mg
2,2,YadX,0.134,No,10mM_mg
2,3,YadX,0.138,No,10mM_mg
2,4,YadX,0.137,No,10mM_mg
2,1,YriB,0.128,No,no_mg
2,2,YriB,0.129,No,no_mg
2,3,YriB,0.126,No,no_mg
2,4,YriB,0.124,No,no_mg
2,1,YriB,0.124,No,10mM_mg
2,2,YriB,0.124,No,10mM_mg
2,3,YriB,0.127,No,10mM_mg
2,4,YriB,0.125,No,10mM_mg
2,1,YmiA,0.12,No,no_mg
2,2,YmiA,0.122,No,no_mg
2,3,YmiA,0.121,No,no_mg
2,4,YmiA,0.122,No,no_mg
2,1,YmiA,0.124,No,10mM_mg
2,2,YmiA,0.12,No,10mM_mg
2,3,YmiA,0.12,No,10mM_mg
2,4,YmiA,0.117,No,10mM_mg
2,1,MgtT,0.135,No,no_mg
2,2,MgtT,0.134,No,no_mg
2,3,MgtT,0.134,No,no_mg
2,4,MgtT,0.136,No,no_mg
2,1,MgtT,0.136,No,10mM_mg
2,2,MgtT,0.135,No,10mM_mg
2,3,MgtT,0.138,No,10mM_mg
2,4,MgtT,0.132,No,10mM_mg
2,1,YmiC,0.128,No,no_mg
2,2,YmiC,0.128,No,no_mg
2,3,YmiC,0.13,No,no_mg
2,4,YmiC,0.136,No,no_mg
2,1,YmiC,0.132,No,10mM_mg
2,2,YmiC,0.137,No,10mM_mg
2,3,YmiC,0.128,No,10mM_mg
2,4,YmiC,0.127,No,10mM_mg
2,1,PmrR,0.127,Yes,no_mg
2,2,PmrR,0.135,Yes,no_mg
2,3,PmrR,0.136,Yes,no_mg
2,4,PmrR,0.14,Yes,no_mg
